ukcode,jycode,inputcode,chabbr,windcode
1114638,2711,ZJZY,002021,中捷资源,002021.SZ
1114639,2713,KHSW,002022,科华生物,002022.SZ
1114640,2715,HTGX,002023,海特高新,002023.SZ
1114641,2717,SNYS,002024,苏宁云商,002024.SZ
1114642,2719,HTDQ,002025,航天电器,002025.SZ
1114643,2721,SDWD,002026,山东威达,002026.SZ
1114644,2723,FZCM,002027,分众传媒,002027.SZ
1114645,2725,SYDQ,002028,思源电气,002028.SZ
1114646,2727,QPL,002029,七 匹 狼,002029.SZ
1114647,2729,DAJY,002030,达安基因,002030.SZ
1114648,2731,JLZN,002031,巨轮智能,002031.SZ
1114649,2733,SBE,002032,苏 泊 尔,002032.SZ
1114650,2735,LJLY,002033,丽江旅游,002033.SZ
1114651,2737,MXD,002034,美 欣 达,002034.SZ
1114652,2739,HDGF,002035,华帝股份,002035.SZ
1114653,2741,LCDZ,002036,联创电子,002036.SZ
1114654,2743,JLFZ,002037,久联发展,002037.SZ
1114655,2745,SLYY,002038,双鹭药业,002038.SZ
1114656,3062,QYDL,002039,黔源电力,002039.SZ
1114657,3081,NJG,002040,南 京 港,002040.SZ
1114658,3118,DHZY,002041,登海种业,002041.SZ
1114659,3134,HFSF,002042,华孚色纺,002042.SZ
